TV 2 Nøttene,10.0
TV2 hjelper deg,9.0
Hagetid,8.0
Level Up Norge,7.0
Ja, vi elsker camping,7.0
Fredrikssons fabrikk,6.667
Meglerne,6.0
Gift ved første blikk,6.0
Luksusfellen,6.0
Jenter,6.0
VGS,0.0
Far og sønn,0.0
Kortfilm For Bokorm,0.0
Shameless,0.0
Menstruation,0.0
Epleslang,0.0
Eliteserien - Highlights,0.0
Hjemme hos oss,0.0
Lương Sinh, Liệu Đôi Ta Có Thể Ngừng Đau Thương?,0.0
Håndballeventyret,0.0
Edels jul,0.0
Dødens tjern,0.0
En kveld hos Kloppen,0.0
A Normal Day,0.0
Phù Dao Hoàng Hậu,0.0
Ta Ở Đại Lý Tự Làm Thú Cưng,0.0
Niên Đại Cam Hồng,0.0
Tình Thiên Thu - Tam Sinh Tam Thế,0.0
Fingrene av fatet,0.0
Vidkun Quisling et liv - en rettssak,0.0
Det store spillet,0.0
Jaget,0.0
CÂU CHUYỆN KHỞI NGHIỆP,0.0
Sverige mot Norge,0.0
Barnehageliv,0.0
Song Thế Sủng Phi 2,0.0
Oiii-Gården,0.0
Minibarna Mini,0.0
Klart eg kan,0.0
Schmokk,0.0
Subway stockholm,0.0
Taxi,0.0
Honningfellen,0.0
Koht og kidsa,0.0
Ikke tenk på meg,0.0
Øisteins kruseduller,0.0
Kontorsjef Tangen,0.0
Solens sønn og månens datter,0.0
Rocky,0.0
Brannbamsen Bjørnis,0.0
